date,alpa4.sa,abev3.sa,amer3.sa,b3sa3.sa,bpan4.sa,bbse3.sa,bbdc3.sa,bbdc4.sa,brap4.sa,bbas3.sa,brkm5.sa,brfs3.sa,ccro3.sa,cmig3.sa,cmig4.sa,cple3.sa,cple6.sa,csan3.sa,cpfe3.sa,dasa3.sa,elet3.sa,elet6.sa,engi11.sa,enev3.sa,egie3.sa,eqtl3.sa,ggbr4.sa,hype3.sa,itsa4.sa,itub3.sa,itub4.sa,jbss3.sa,klbn11.sa,rent3.sa,lren3.sa,mglu3.sa,mrfg3.sa,petr3.sa,petr4.sa,prio3.sa,pssa3.sa,radl3.sa,rail3.sa,sbsp3.sa,sanb11.sa,smto3.sa,csna3.sa,suzb3.sa,taee11.sa,vivt3.sa,tims3.sa,tots3.sa,trpl4.sa,ugpa3.sa,usim3.sa,usim5.sa,vale3.sa,wege3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-02-01,NA,0.309414,NA,NA,NA,NA,1.197896,NA,1.517181,1.133265,1144.368774,682.387878,NA,0.842926,2852.702881,0.32778,-27.667273,NA,0.14408,NA,6.897838,NA,NA,NA,NA,NA,264.605438,NA,0.467459,1.115391,NA,NA,NA,NA,6156.449707,NA,NA,1.855703,1.893763,NA,NA,0.004852,NA,4.493164,NA,NA,1.609428,NA,NA,10.107398,NA,NA,2042.976318,NA,1.151436,1.764092,1.910768,0.122021,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-02,NA,0.309414,NA,NA,NA,NA,1.208047,NA,1.517181,1.121789,1106.819824,682.387878,NA,0.823769,2825.360107,0.340267,-27.837721,NA,0.14408,NA,6.942965,NA,NA,NA,NA,NA,268.362396,NA,0.467459,1.115391,NA,NA,NA,NA,6156.449707,NA,NA,1.895469,1.930181,NA,NA,0.004852,NA,4.608519,NA,NA,1.56668,NA,NA,10.317637,NA,NA,1968.329102,NA,1.117064,1.764092,1.829458,0.122021,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-03,NA,0.309414,NA,NA,NA,NA,1.267508,NA,1.62555,1.133265,1100.967285,719.608826,NA,0.823769,2806.220459,0.330902,-28.140703,NA,0.14408,NA,7.263144,NA,NA,NA,NA,NA,274.803192,NA,0.464772,1.115391,NA,NA,NA,NA,5130.375488,NA,NA,2.004159,1.984809,NA,NA,0.004852,NA,4.631591,NA,NA,1.652175,NA,NA,10.77045,NA,NA,2003.689087,NA,1.117064,1.764092,1.829458,0.122021,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-04,NA,0.289039,NA,NA,NA,NA,1.251556,NA,1.62555,1.147611,1100.909668,719.608826,NA,0.842926,2798.017822,0.335585,-28.992889,NA,0.14408,NA,7.47803,NA,NA,NA,NA,NA,268.362396,NA,0.470145,1.170246,NA,NA,NA,NA,5130.375488,NA,NA,2.062482,2.035067,NA,NA,0.004852,NA,4.677474,NA,NA,1.692784,NA,NA,10.964511,NA,NA,2121.552246,NA,1.117064,1.838283,1.898571,0.122021,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-07,NA,0.289039,NA,NA,NA,NA,1.218199,NA,1.62555,1.128961,1118.351196,719.608826,NA,0.842926,2884.602051,0.328093,-28.424763,NA,0.14408,NA,7.349099,NA,NA,NA,NA,NA,281.243927,NA,0.499697,1.097106,NA,NA,NA,NA,5130.375488,NA,NA,2.054529,2.048542,NA,NA,0.004852,NA,4.631591,NA,NA,1.686372,NA,NA,10.996853,NA,NA,2141.197021,NA,1.117064,1.821796,1.992077,0.122021,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-08,NA,0.289039,NA,NA,NA,NA,1.229802,NA,1.62555,1.154783,1100.677856,719.608826,NA,0.881242,3016.755127,0.32778,-27.856647,NA,0.14408,NA,7.510263,NA,NA,NA,NA,NA,289.83139,NA,0.49701,1.142817,NA,NA,NA,NA,5130.375488,NA,NA,2.120804,2.094064,NA,NA,0.004852,NA,4.647663,NA,NA,1.690647,NA,NA,11.417318,NA,NA,2455.500244,NA,1.117064,1.863014,2.107943,0.122021,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-09,NA,0.321626,NA,NA,NA,NA,1.229802,NA,1.62555,1.154783,1043.021851,719.608826,NA,0.881242,3007.64209,0.32778,-27.458971,NA,0.14408,NA,7.370588,NA,NA,NA,NA,NA,289.83139,NA,0.483578,1.124532,NA,NA,NA,NA,5130.375488,NA,NA,2.067783,2.048542,NA,NA,0.005545,NA,4.493164,NA,NA,1.650037,NA,NA,11.54669,NA,NA,2773.73291,NA,1.117064,1.830039,2.073386,0.122021,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-10,NA,0.321626,NA,NA,NA,NA,1.260256,NA,1.73392,1.139004,1043.021851,719.608826,NA,0.900399,3089.667969,0.333087,-28.405823,NA,0.14408,NA,7.392075,NA,NA,NA,NA,NA,287.147919,NA,0.480891,1.097106,NA,NA,NA,NA,5130.375488,NA,NA,2.014764,1.989543,NA,NA,0.005545,NA,4.401138,NA,NA,1.652175,NA,NA,11.740759,NA,NA,3810.9375,NA,1.117064,1.813552,1.951422,0.119841,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-11,NA,0.309414,NA,NA,NA,NA,1.218199,NA,1.62555,1.133265,1077.789307,719.608826,NA,0.881242,2979.388184,0.342765,-29.882929,NA,0.14408,NA,7.048258,NA,NA,NA,NA,NA,278.560272,NA,0.467459,1.097106,NA,NA,NA,NA,5130.375488,NA,NA,1.940535,1.925811,NA,NA,0.005545,NA,4.354997,NA,NA,1.60729,NA,NA,11.676066,NA,NA,4349.182617,NA,1.117064,1.714632,1.849379,0.12311,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-14,NA,0.309414,NA,NA,NA,NA,1.206597,NA,1.62555,1.121789,1101.025391,719.608826,NA,0.862084,2880.044922,0.349633,-29.845051,NA,0.14408,NA,6.876351,NA,NA,NA,NA,NA,271.046112,NA,0.456712,1.069677,NA,NA,NA,NA,5130.375488,NA,NA,1.961743,1.898497,NA,NA,0.005545,NA,4.262712,NA,NA,1.553856,NA,NA,11.808675,NA,NA,4557.409668,NA,1.117064,1.648684,1.825392,0.12311,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-15,NA,0.309414,NA,NA,NA,NA,1.152938,NA,1.62555,1.071582,1105.313354,719.608826,NA,0.842926,2871.841797,0.349633,-30.678297,NA,0.14408,NA,6.876351,NA,NA,NA,NA,NA,273.729797,NA,0.451339,1.188531,NA,NA,NA,NA,5130.375488,NA,NA,2.073086,1.934916,NA,NA,0.005545,NA,4.193758,NA,NA,1.538895,NA,NA,11.643721,NA,NA,4160.601074,NA,1.211586,1.632197,1.870113,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-16,NA,0.309414,NA,NA,NA,NA,1.174693,NA,1.62555,1.095968,1182.091431,719.608826,NA,0.842926,2870.930664,0.348072,-31.246408,NA,0.14408,NA,6.897838,NA,NA,NA,NA,NA,279.096924,NA,0.464772,1.188531,NA,NA,NA,NA,5130.375488,NA,NA,2.152616,2.089695,NA,NA,0.005545,NA,4.2399,NA,NA,1.568818,NA,NA,11.420557,NA,NA,4164.528809,NA,1.211586,1.673415,1.870113,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-17,NA,0.309414,NA,NA,NA,NA,1.148588,NA,1.62555,1.074451,1321.161011,719.608826,NA,0.862084,2861.81665,0.358997,-32.193275,NA,0.14408,NA,6.915029,NA,NA,NA,NA,NA,278.560272,NA,0.470145,1.188531,NA,NA,NA,NA,5130.375488,NA,NA,2.083637,2.071485,NA,NA,0.005545,NA,4.103806,NA,NA,1.624389,NA,NA,11.482003,NA,NA,4262.749512,NA,1.211586,1.721227,1.829458,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-18,NA,0.317555,NA,NA,NA,NA,1.121033,NA,1.517181,1.075885,1286.393433,719.608826,NA,0.842926,2825.360107,0.352754,-32.00391,NA,0.14408,NA,6.768906,NA,NA,NA,NA,NA,277.218414,NA,0.459399,1.115391,NA,NA,NA,NA,5130.375488,NA,NA,2.067783,2.025961,NA,NA,0.005545,NA,4.053257,NA,NA,1.596603,NA,NA,11.100351,NA,NA,4125.241211,NA,1.211586,1.648684,1.829458,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-21,NA,0.317555,NA,NA,NA,NA,1.121033,NA,1.517181,1.121789,1297.982544,719.608826,NA,0.842926,2870.930664,0.358685,-32.761387,NA,0.14408,NA,6.977347,NA,NA,NA,NA,NA,279.633606,NA,0.459399,1.115391,NA,NA,NA,NA,5130.375488,NA,NA,2.083689,2.021228,NA,NA,0.005545,NA,4.055332,NA,NA,1.617977,NA,NA,11.2556,NA,NA,4203.816895,NA,1.211586,1.673415,1.829458,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-22,NA,0.299628,NA,NA,NA,NA,1.110882,NA,1.517181,1.10601,1246.005371,719.608826,NA,0.842926,2814.42334,0.349633,-31.435783,NA,0.14408,NA,6.876351,NA,NA,NA,NA,NA,277.486755,NA,0.459399,1.106248,NA,NA,NA,NA,5130.375488,NA,NA,2.062482,2.012123,NA,NA,0.005545,NA,4.055332,NA,NA,1.622252,NA,NA,11.000092,NA,NA,3810.9375,NA,1.211586,1.640441,1.788803,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-23,NA,0.305322,NA,NA,NA,NA,1.115232,NA,1.517181,1.131831,1216.858765,719.608826,NA,0.842926,2857.259033,0.350257,-30.754044,NA,0.14408,NA,6.897838,NA,NA,NA,NA,NA,277.486755,NA,0.454026,1.106248,NA,NA,NA,NA,5130.375488,NA,NA,2.132044,2.025961,NA,NA,0.005545,NA,4.009708,NA,NA,1.56668,NA,NA,11.443197,NA,NA,3920.942871,NA,1.211586,1.632197,1.829458,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-24,NA,0.301251,NA,NA,NA,NA,1.09928,NA,1.517181,1.075885,1213.961426,719.608826,NA,0.823769,2798.929199,0.340267,-30.583612,NA,0.14408,NA,6.764609,NA,NA,NA,NA,NA,271.046112,NA,0.456712,1.115391,NA,NA,NA,NA,5130.375488,NA,NA,2.2322,2.08059,NA,NA,0.005545,NA,4.048593,NA,NA,1.57523,NA,NA,11.482003,NA,NA,3889.512207,NA,1.211586,1.647036,1.809131,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-25,NA,0.29311,NA,NA,NA,NA,1.09928,NA,1.517181,1.083057,1228.44812,719.608826,NA,0.804611,2779.790039,0.33777,-30.526802,NA,0.14408,NA,6.659315,NA,NA,NA,NA,NA,269.972565,NA,0.448652,1.124532,NA,NA,NA,NA,5130.375488,NA,NA,2.285166,2.135217,NA,NA,0.005545,NA,4.124545,NA,NA,1.538895,NA,NA,11.449663,NA,NA,3830.580566,NA,1.211586,1.56625,1.788803,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-28,NA,0.29311,NA,NA,NA,NA,1.109431,NA,1.40881,1.097403,1187.885742,719.608826,NA,0.804611,2743.333252,0.328405,-30.451052,NA,0.14408,NA,6.55402,NA,NA,NA,NA,NA,262.995178,NA,0.445966,1.124532,NA,NA,NA,NA,5130.375488,NA,NA,2.285166,2.094064,NA,NA,0.005545,NA,4.078403,NA,NA,1.56668,NA,NA,11.190918,NA,NA,3732.361572,NA,1.211586,1.558007,1.748149,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-02-29,NA,0.289039,NA,NA,NA,NA,1.081877,NA,1.40881,1.068712,1158.913086,719.608826,NA,0.766297,2660.395508,0.319976,-30.488918,NA,0.14408,NA,6.57551,NA,NA,NA,NA,NA,263.639252,NA,0.43522,1.115391,NA,NA,NA,NA,5130.375488,NA,NA,2.274562,2.103169,NA,NA,0.005545,NA,4.043926,NA,NA,1.56668,NA,NA,11.2556,NA,NA,3732.361572,NA,1.211586,1.56625,1.658709,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-03-01,NA,0.289039,NA,NA,NA,NA,1.110882,NA,1.517181,1.054367,1158.913086,719.608826,NA,0.785454,2643.079102,0.316854,-30.488918,NA,0.127614,NA,6.682951,NA,NA,NA,NA,NA,261.921722,NA,0.43522,1.142817,NA,NA,NA,NA,5130.375488,NA,NA,2.293172,2.139588,NA,NA,0.005545,NA,4.009448,NA,NA,1.600878,NA,NA,11.449663,NA,NA,3732.361572,NA,1.211586,1.548115,1.666839,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-03-02,NA,0.289039,NA,NA,NA,NA,1.119583,NA,1.517181,1.054367,1135.677002,719.608826,NA,0.766297,2547.380859,0.307489,-30.110189,NA,0.127614,NA,6.468066,NA,NA,NA,NA,NA,261.653412,NA,0.440593,1.142817,NA,NA,NA,NA,5130.375488,NA,NA,2.290468,2.126113,NA,NA,0.005545,NA,3.917165,NA,NA,1.605153,NA,NA,11.789274,NA,NA,3531.99292,NA,1.211586,1.459085,1.625372,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
2000-03-03,NA,0.316732,NA,NA,NA,NA,1.121033,NA,1.517181,1.06154,1158.913086,719.608826,NA,0.785454,2679.534912,0.31186,-30.299551,NA,0.127614,NA,6.747418,NA,NA,NA,NA,NA,260.311646,NA,0.443279,1.197673,NA,NA,NA,NA,5130.375488,NA,NA,2.332884,2.198949,NA,NA,0.005545,NA,4.066997,NA,NA,1.709883,NA,NA,12.128879,NA,NA,3732.361572,NA,1.13425,1.51679,1.605451,0.108946,2022-09-01,MATRIZ_PRECO_CT_B3_MLCX
