date,abcb4.sa,also3.sa,alpa4.sa,alup11.sa,amer3.sa,anim3.sa,arzz3.sa,bpan4.sa,brsr6.sa,brpr3.sa,brap4.sa,agro3.sa,brfs3.sa,cogn3.sa,csmg3.sa,cvcb3.sa,cyre3.sa,dasa3.sa,dxco3.sa,pnvl3.sa,dirr3.sa,ecor3.sa,embr3.sa,enat3.sa,enbr3.sa,even3.sa,eztc3.sa,fher3.sa,fesa4.sa,flry3.sa,gfsa3.sa,goau4.sa,goll4.sa,grnd3.sa,guar3.sa,meal3.sa,mypk3.sa,rani3.sa,jhsf3.sa,kepl3.sa,ligt3.sa,logn3.sa,amar3.sa,mdia3.sa,pomo4.sa,mrfg3.sa,leve3.sa,mils3.sa,beef3.sa,mrve3.sa,odpv3.sa,pcar3.sa,ptbl3.sa,posi3.sa,qual3.sa,rapt4.sa,rcsl3.sa,romi3.sa,stbp3.sa,smto3.sa,seer3.sa,sqia3.sa,slce3.sa,syne3.sa,tasa4.sa,tend3.sa,tris3.sa,tupy3.sa,unip6.sa,usim3.sa,usim5.sa,vlid3.sa,viia3.sa,vulc3.sa,wizs3.sa,yduq3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,732.010986,NA,NA,NA,0.431561,NA,NA,0.339077,NA,NA,6.145753,NA,2.461168,NA,NA,NA,0.327699,NA,NA,166.542526,NA,NA,0.473465,NA,NA,2.81e-4,NA,NA,55.227444,NA,NA,NA,0.171353,NA,1.789192,NA,NA,NA,NA,NA,0.335035,NA,NA,0.144372,NA,0.199033,NA,NA,NA,NA,NA,0.146077,2.885095,NA,NA,NA,22.496161,1.151436,1.731119,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.420096,NA,682.387817,NA,NA,NA,NA,NA,NA,0.339077,NA,NA,6.004899,NA,2.461168,NA,NA,NA,0.339519,NA,NA,164.628326,NA,NA,0.473465,NA,NA,2.81e-4,NA,NA,56.596714,NA,NA,NA,0.173976,NA,1.783945,NA,NA,NA,NA,NA,0.341605,NA,NA,0.144372,NA,0.199033,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,22.496161,1.151436,1.764092,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.420096,NA,682.387817,NA,NA,NA,0.415577,NA,NA,0.339077,NA,NA,6.145753,NA,2.461168,NA,NA,NA,0.345806,NA,NA,162.71405,NA,NA,0.473465,NA,NA,2.81e-4,NA,NA,57.763145,NA,NA,NA,0.17485,NA,1.778698,NA,NA,NA,NA,NA,0.341605,NA,NA,0.140763,NA,0.199033,NA,NA,NA,NA,NA,0.140666,2.885095,NA,NA,NA,22.496161,1.117065,1.764092,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,719.608826,NA,NA,NA,NA,NA,NA,0.339077,NA,NA,5.930763,NA,2.461168,NA,NA,NA,0.339519,NA,NA,163.671158,NA,NA,0.45593,NA,NA,2.81e-4,NA,NA,59.132412,NA,NA,NA,0.187964,NA,1.731476,NA,NA,NA,NA,NA,0.315327,NA,NA,0.147981,NA,0.199033,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,22.297058,1.117065,1.764092,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,719.608826,NA,NA,NA,NA,NA,NA,0.339077,NA,NA,5.938178,NA,2.461168,NA,NA,NA,0.345806,NA,NA,166.542526,NA,NA,0.45593,NA,NA,2.81e-4,NA,NA,60.552406,NA,NA,NA,0.196707,NA,1.731476,NA,NA,NA,NA,NA,0.315327,NA,NA,0.147981,NA,0.199033,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,22.496161,1.117065,1.838282,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,719.608826,NA,NA,NA,NA,NA,NA,0.339077,NA,NA,6.130929,NA,2.461168,NA,NA,NA,0.364669,NA,NA,166.542526,NA,NA,0.45593,NA,NA,2.81e-4,NA,NA,60.197403,NA,NA,NA,0.209821,NA,1.715735,NA,NA,NA,NA,NA,0.315327,NA,NA,0.140763,NA,0.199033,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,22.097992,1.117065,1.821796,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,719.608826,NA,NA,NA,NA,NA,NA,0.339077,NA,NA,6.26437,NA,2.461168,NA,NA,NA,0.377872,NA,NA,163.671158,NA,NA,0.45593,NA,NA,2.81e-4,NA,NA,59.842415,NA,NA,NA,0.218563,NA,1.689501,NA,NA,NA,NA,NA,0.328466,NA,NA,0.144372,NA,0.199033,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,22.695223,1.117065,1.863013,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,719.608826,NA,NA,NA,NA,NA,NA,0.350014,NA,NA,6.26437,NA,2.461168,NA,NA,NA,0.382902,NA,NA,163.671158,NA,NA,0.45593,NA,NA,2.81e-4,NA,NA,55.937439,NA,NA,NA,0.218563,NA,1.689501,NA,NA,NA,NA,NA,0.315327,NA,NA,0.144372,NA,0.199033,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,23.093363,1.117065,1.830039,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.622967,NA,719.608826,NA,NA,NA,NA,NA,NA,0.478536,NA,NA,6.523842,NA,2.461168,NA,NA,NA,0.382839,NA,NA,160.416809,NA,NA,0.45593,NA,NA,2.81e-4,NA,NA,56.393852,NA,NA,NA,0.218563,NA,1.679007,NA,NA,NA,NA,NA,0.315327,NA,NA,0.144372,NA,0.199033,NA,NA,NA,NA,NA,NA,2.885095,NA,NA,NA,23.491566,1.117065,1.813553,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,719.608826,NA,NA,NA,0.437954,NA,NA,0.478536,NA,NA,6.116102,NA,2.461168,NA,NA,NA,0.3741,NA,NA,157.545441,NA,NA,0.45593,NA,0.675696,2.81e-4,NA,NA,56.596714,NA,NA,NA,0.220312,NA,1.679007,NA,NA,NA,NA,NA,0.321897,NA,NA,0.144372,NA,0.199033,NA,NA,NA,NA,NA,0.148241,2.885095,NA,NA,NA,23.491566,1.117065,1.714632,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,719.608826,NA,NA,NA,0.439553,NA,NA,0.410174,NA,NA,6.116102,NA,2.461168,NA,NA,NA,0.380387,NA,NA,156.971222,NA,NA,0.442778,NA,NA,2.81e-4,NA,NA,56.393852,NA,NA,NA,0.226431,NA,1.658019,NA,NA,NA,NA,NA,0.321897,NA,NA,0.144372,NA,0.197222,NA,NA,NA,NA,NA,0.148782,2.885095,NA,NA,NA,22.894297,1.117065,1.648684,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,719.608826,NA,NA,NA,0.447545,NA,NA,0.410174,NA,NA,6.116102,NA,2.461168,NA,NA,NA,0.383468,NA,NA,155.018585,NA,NA,0.45593,NA,NA,2.81e-4,NA,NA,54.061035,NA,NA,NA,0.227306,NA,1.652773,NA,NA,NA,NA,NA,0.321897,NA,NA,0.140763,NA,0.197222,NA,NA,NA,NA,NA,0.151487,2.885095,NA,NA,NA,22.894297,1.211585,1.632197,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
2000-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,719.608826,NA,NA,NA,0.439553,NA,NA,0.410174,NA,NA,6.160583,NA,2.461168,NA,NA,NA,0.383405,NA,NA,156.014023,NA,NA,0.45593,NA,NA,2.81e-4,NA,NA,59.284565,NA,NA,NA,0.225557,NA,1.626538,NA,NA,NA,NA,NA,0.321897,NA,NA,0.137153,NA,0.197222,NA,NA,NA,NA,NA,0.148782,2.885095,NA,NA,NA,22.496161,1.211585,1.673414,NA,0.996683,NA,NA,NA,2023-01-11,MATRIZ_PRECO_CT_B3_SMLL
