date,alup11.sa,cmig3.sa,cmig4.sa,csmg3.sa,cple3.sa,cple6.sa,cpfe3.sa,elet3.sa,elet6.sa,enbr3.sa,engi11.sa,enev3.sa,egie3.sa,eqtl3.sa,ligt3.sa,sbsp3.sa,taee11.sa,trpl4.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-05-23,NA,0.727982,2278.515625,NA,0.290632,-35.146793,0.279927,5.630011,NA,2.60783,NA,NA,NA,NA,43.715405,2.998985,NA,2078.335205,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-24,NA,0.766297,2369.656738,NA,0.291881,-36.659313,0.279927,5.866386,NA,2.60783,NA,NA,NA,NA,45.084675,3.039166,NA,2066.549561,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-25,NA,0.747139,2415.227295,NA,0.296563,-36.684948,0.279927,5.909363,NA,2.60783,NA,NA,NA,NA,42.599686,2.960879,NA,2023.332886,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-26,NA,0.747139,2515.482422,NA,0.301246,-37.30022,0.279927,6.145739,NA,2.60783,NA,NA,NA,NA,42.092556,2.960879,NA,2160.84082,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-29,NA,0.804611,2579.280029,NA,0.310611,-36.402954,0.279927,6.128546,NA,2.60783,NA,NA,NA,NA,42.80254,2.993283,NA,2219.772461,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-30,NA,0.804611,2661.306885,NA,0.315293,-36.659313,0.279927,6.360623,NA,2.60783,NA,NA,NA,NA,43.512543,3.136116,NA,2490.859375,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-05-31,NA,0.804611,2561.05249,NA,0.315293,-37.684753,0.279927,6.248882,NA,2.60783,NA,NA,NA,NA,41.889698,3.064829,NA,2824.808105,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-06-01,NA,0.766297,2561.05249,NA,0.324659,-38.556362,0.279927,6.339134,NA,2.60783,NA,NA,NA,NA,42.80254,3.156854,NA,2871.954346,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-06-02,NA,0.804611,2551.938232,NA,0.332151,-39.73563,0.279927,6.446578,NA,2.60783,NA,NA,NA,NA,41.534698,3.276616,NA,2765.875732,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-06-05,NA,0.785454,2570.166748,NA,0.337145,-39.479259,0.279927,6.532533,NA,2.60783,NA,NA,NA,NA,41.433266,3.202996,NA,2844.452148,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-06-06,NA,0.785454,2570.166748,NA,0.337145,-39.479259,0.279927,6.532533,NA,2.60783,NA,NA,NA,NA,NA,3.202996,NA,2844.452148,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-06-07,NA,0.842926,2615.736816,NA,0.340267,-40.607243,0.279927,6.72593,NA,2.60783,NA,NA,NA,NA,40.165417,3.156854,NA,2797.306885,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-06-08,NA,0.862084,2688.64917,NA,0.34495,-40.504696,0.279927,6.983792,NA,2.60783,NA,NA,NA,NA,41.078278,3.214402,NA,2895.526123,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-06-09,NA,0.862084,2661.306885,NA,0.358061,-40.761059,0.277869,7.026771,NA,2.60783,NA,NA,NA,NA,42.092556,3.225809,NA,3143.040527,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-06-12,NA,0.862084,2643.078857,NA,0.354315,-41.017414,0.277869,7.005281,NA,2.60783,NA,NA,NA,NA,42.092556,3.191331,NA,3209.830322,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-06-13,NA,0.823769,2697.762939,NA,0.349632,-41.017414,0.277869,7.202977,NA,2.60783,NA,NA,NA,NA,43.715405,3.134301,NA,3009.460938,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
2000-06-14,NA,0.842926,2643.990234,NA,0.346511,-39.991982,0.277869,7.32761,NA,2.60783,NA,NA,NA,NA,42.80254,3.124451,NA,2942.671387,2022-08-18,MATRIZ_PRECO_CT_B3_UTIL
