date,also3.sa,alpa4.sa,abev3.sa,arzz3.sa,b3sa3.sa,bpan4.sa,bbse3.sa,bbdc3.sa,bbdc4.sa,brap4.sa,bbas3.sa,brkm5.sa,brfs3.sa,ccro3.sa,cmig4.sa,ciel3.sa,cogn3.sa,cple6.sa,csan3.sa,cpfe3.sa,cvcb3.sa,cyre3.sa,dxco3.sa,ecor3.sa,elet3.sa,elet6.sa,embr3.sa,enat3.sa,enbr3.sa,engi11.sa,enev3.sa,egie3.sa,eqtl3.sa,eztc3.sa,flry3.sa,ggbr4.sa,goau4.sa,goll4.sa,hype3.sa,itsa4.sa,itub4.sa,jbss3.sa,klbn11.sa,rent3.sa,lren3.sa,mdia3.sa,mglu3.sa,mrfg3.sa,beef3.sa,mrve3.sa,mult3.sa,pcar3.sa,petr3.sa,petr4.sa,prio3.sa,pssa3.sa,qual3.sa,radl3.sa,rail3.sa,sbsp3.sa,sanb11.sa,stbp3.sa,smto3.sa,csna3.sa,slce3.sa,suzb3.sa,taee11.sa,vivt3.sa,tims3.sa,tots3.sa,trpl4.sa,ugpa3.sa,usim5.sa,vale3.sa,viia3.sa,wege3.sa,yduq3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-01-31,NA,NA,0.293927,NA,NA,NA,NA,1.161783,NA,1.521532,1.087168,1100.967773,732.010986,NA,2608.820068,NA,NA,-26.486338,NA,0.14408,NA,0.431561,NA,NA,6.891554,NA,6.145755,NA,2.461168,NA,NA,NA,NA,NA,NA,249.193817,166.542557,NA,NA,0.401001,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.603311,1.625398,NA,NA,NA,0.004817,NA,4.60852,NA,NA,NA,1.456787,NA,NA,NA,9.55246,NA,NA,2007.526489,NA,1.731118,1.944803,0.996683,0.118812,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-02-01,NA,NA,0.293927,NA,NA,NA,NA,1.14242,NA,1.420097,1.087168,1144.368652,682.387695,NA,2668.499023,NA,NA,-26.504475,NA,0.14408,NA,NA,NA,NA,6.891554,NA,6.004899,NA,2.461168,NA,NA,NA,NA,NA,NA,245.705093,164.628296,NA,NA,0.410436,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.650466,1.656943,NA,NA,NA,0.004817,NA,4.493164,NA,NA,NA,1.40636,NA,NA,NA,9.819553,NA,NA,1951.241455,NA,1.764092,1.904286,0.996683,0.120973,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-02-02,NA,NA,0.293927,NA,NA,NA,NA,1.152102,NA,1.420097,1.076159,1106.820068,682.387695,NA,2642.922119,NA,NA,-26.667755,NA,0.14408,NA,0.415577,NA,NA,6.936638,NA,6.145755,NA,2.461168,NA,NA,NA,NA,NA,NA,249.193817,162.714005,NA,NA,0.410436,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.685834,1.688808,NA,NA,NA,0.004817,NA,4.60852,NA,NA,NA,1.369006,NA,NA,NA,10.023802,NA,NA,1879.945313,NA,1.764092,1.823253,0.996683,0.120973,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-02-03,NA,NA,0.293927,NA,NA,NA,NA,1.208807,NA,1.521532,1.087168,1100.967773,719.608826,NA,2625.018066,NA,NA,-26.958008,NA,0.14408,NA,NA,NA,NA,7.256528,NA,5.930762,NA,2.461168,NA,NA,NA,NA,NA,NA,255.174301,163.671143,NA,NA,0.408077,NA,NA,NA,NA,5052.888672,NA,NA,NA,NA,NA,NA,NA,1.782504,1.736604,NA,NA,NA,0.004817,NA,4.631591,NA,NA,NA,1.443714,NA,NA,NA,10.463718,NA,NA,1913.717407,NA,1.764092,1.823253,0.996683,0.120973,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-02-04,NA,NA,0.274572,NA,NA,NA,NA,1.193594,NA,1.521532,1.100929,1100.909668,719.608826,NA,2617.345459,NA,NA,-27.774378,NA,0.14408,NA,NA,NA,NA,7.471219,NA,5.938179,NA,2.461168,NA,NA,NA,NA,NA,NA,249.193817,166.542557,NA,NA,0.412794,NA,NA,NA,NA,5052.888672,NA,NA,NA,NA,NA,NA,NA,1.834375,1.780577,NA,NA,NA,0.004817,NA,4.677474,NA,NA,NA,1.479199,NA,NA,NA,10.652254,NA,NA,2026.288696,NA,1.838283,1.892131,0.996683,0.120973,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-02-07,NA,NA,0.274572,NA,NA,NA,NA,1.161783,NA,1.521532,1.08304,1118.351318,719.608826,NA,2698.338623,NA,NA,-27.230141,NA,0.14408,NA,NA,NA,NA,7.342405,NA,6.130929,NA,2.461168,NA,NA,NA,NA,NA,NA,261.15506,166.542557,NA,NA,0.438742,NA,NA,NA,NA,5052.888672,NA,NA,NA,NA,NA,NA,NA,1.827303,1.792367,NA,NA,NA,0.004817,NA,4.631591,NA,NA,NA,1.473596,NA,NA,NA,10.683674,NA,NA,2045.050171,NA,1.821796,1.985319,0.996683,0.120973,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-02-08,NA,NA,0.274572,NA,NA,NA,NA,1.172848,NA,1.521532,1.10781,1100.677734,719.608826,NA,2821.95874,NA,NA,-26.685892,NA,0.14408,NA,NA,NA,NA,7.503422,NA,6.264369,NA,2.461168,NA,NA,NA,NA,NA,NA,269.129242,163.671143,NA,NA,0.436383,NA,NA,NA,NA,5052.888672,NA,NA,NA,NA,NA,NA,NA,1.886247,1.832197,NA,NA,NA,0.004817,NA,4.647663,NA,NA,NA,1.477332,NA,NA,NA,11.092169,NA,NA,2345.241699,NA,1.863014,2.100793,0.996683,0.120973,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-02-09,NA,NA,0.305528,NA,NA,NA,NA,1.172848,NA,1.521532,1.10781,1043.021973,719.608826,NA,2813.433594,NA,NA,-26.304926,NA,0.14408,NA,NA,NA,NA,7.363873,NA,6.264369,NA,2.461168,NA,NA,NA,NA,NA,NA,269.129242,163.671143,NA,NA,0.424589,NA,NA,NA,NA,5052.888672,NA,NA,NA,NA,NA,NA,NA,1.839091,1.792367,NA,NA,NA,0.005505,NA,4.493164,NA,NA,NA,1.441845,NA,NA,NA,11.217859,NA,NA,2649.185303,NA,1.830039,2.066354,0.996683,0.120973,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-02-10,NA,NA,0.305528,NA,NA,NA,NA,1.201893,NA,1.622968,1.092673,1043.021973,719.608826,NA,2890.163574,NA,NA,-27.211994,NA,0.14408,NA,NA,NA,NA,7.38534,NA,6.52384,NA,2.461168,NA,NA,NA,NA,NA,NA,266.637299,160.41684,NA,NA,0.42223,NA,NA,NA,NA,5052.888672,NA,NA,NA,NA,NA,NA,NA,1.791935,1.740747,NA,NA,NA,0.005505,NA,4.401139,NA,NA,NA,1.443714,NA,NA,NA,11.406396,NA,NA,3639.814697,NA,1.813553,1.944803,0.996683,0.118812,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-02-11,NA,NA,0.293927,NA,NA,NA,NA,1.161783,NA,1.521532,1.087168,1077.789063,719.608826,NA,2787.00415,NA,NA,-28.62701,NA,0.14408,NA,0.437955,NA,NA,7.041839,NA,6.116101,NA,2.461168,NA,NA,NA,NA,NA,NA,258.663025,157.54541,NA,NA,0.410436,NA,NA,NA,NA,5052.888672,NA,NA,NA,NA,NA,NA,NA,1.725916,1.684984,NA,NA,NA,0.005505,NA,4.354997,NA,NA,NA,1.404492,NA,NA,NA,11.343548,NA,NA,4153.89209,NA,1.714632,1.843106,0.996683,0.122053,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
